question,database,output,type,cypher,explanation,syntax_error,timeout,returns_results,no_cypher
Which movies have synopses longer than 50 words?,neo4j,"<explanation>
This query first matches all movies in the graph. Then, it matches the synopses associated with each movie. It counts the number of words in each synopsis using the `size()` function on the `text` property, which is split into an array of words. If the number of words is greater than 50, the query returns the title of the movie.
</explanation>
```cypher
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WHERE size(split(s.text, ' ')) > 50
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WHERE size(split(s.text, ' ')) > 50
RETURN m.title","This query first matches all movies in the graph. Then, it matches the synopses associated with each movie. It counts the number of words in each synopsis using the `size()` function on the `text` property, which is split into an array of words. If the number of words is greater than 50, the query returns the title of the movie.",False,True,False,False
"List the names of all actors who have acted in movies with the title ""진짜 사나이"".",neo4j,"<explanation>
This query first matches all movies with the title ""진짜 사나이"". Then it follows the `ACTED_BY` relationship to find all actors who have acted in those movies. Finally, it returns the names of those actors.
</explanation>
```cypher
MATCH (m:Movie {title: ""진짜 사나이""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""진짜 사나이""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name","This query first matches all movies with the title ""진짜 사나이"". Then it follows the `ACTED_BY` relationship to find all actors who have acted in those movies. Finally, it returns the names of those actors.",False,False,False,False
"What are the titles of the movies that feature the actor ""권해효""?",neo4j,"<explanation>
This Cypher query will first match all movies that have an ACTED_BY relationship with an Actor node. Then, it will filter the movies to only include those where the Actor's name is ""권해효"". Finally, it will return the titles of these movies.
</explanation>
```cypher
MATCH (m:Movie)-[:ACTED_BY]->(a:Actor)
WHERE a.name = ""권해효""
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:ACTED_BY]->(a:Actor)
WHERE a.name = ""권해효""
RETURN m.title","This Cypher query will first match all movies that have an ACTED_BY relationship with an Actor node. Then, it will filter the movies to only include those where the Actor's name is ""권해효"". Finally, it will return the titles of these movies.",False,False,False,False
Find the movies directed by directors who have also acted in movies.,neo4j,"<explanation>
This query will first find all directors who have acted in movies. It does this by matching directors with their acting roles. Then, it matches movies directed by these directors. Finally, it returns the titles of these movies.
</explanation>
```cypher
MATCH (d:Director)-[:ACTED_BY]->(a:Actor)<-[:ACTED_BY]-(m:Movie)
WITH d, m
MATCH (d)-[:DIRECTED_BY]->(m)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (d:Director)-[:ACTED_BY]->(a:Actor)<-[:ACTED_BY]-(m:Movie)
WITH d, m
MATCH (d)-[:DIRECTED_BY]->(m)
RETURN m.title","This query will first find all directors who have acted in movies. It does this by matching directors with their acting roles. Then, it matches movies directed by these directors. Finally, it returns the titles of these movies.",False,False,False,False
List the names of the actors who have acted in more than 3 movies.,neo4j,"<explanation>
This query will:
1. **MATCH** all movies and their actors.
2. **WITH** the movie and its actors, we count the number of actors for each movie.
3. **WITH** the actor and the count of movies they have acted in, we filter out actors who have acted in more than 3 movies.
4. **RETURN** the names of those actors.
</explanation>
```cypher
MATCH (m:Movie)-[:ACTED_BY]->(a:Actor)
WITH m, collect(a) as actors
WITH m, size(actors) as actor_count
WITH a, count(m) as movie_count
WHERE movie_count > 3
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:ACTED_BY]->(a:Actor)
WITH m, collect(a) as actors
WITH m, size(actors) as actor_count
WITH a, count(m) as movie_count
WHERE movie_count > 3
RETURN a.name","This query will:
1. **MATCH** all movies and their actors.
2. **WITH** the movie and its actors, we count the number of actors for each movie.
3. **WITH** the actor and the count of movies they have acted in, we filter out actors who have acted in more than 3 movies.
4. **RETURN** the names of those actors.",False,True,False,False
What is the title of the movie with the shortest synopsis?,neo4j,"<explanation>
This query first matches all movies and their synopses using the `HAS_SYNOPSIS` relationship. Then, it calculates the length of each synopsis using the `size()` function and stores it in the `synopsisLength` variable. It then uses the `ORDER BY` clause to sort the results based on the `synopsisLength` in ascending order, effectively finding the movie with the shortest synopsis. Finally, it returns the `title` of the movie with the shortest synopsis.
</explanation>
```cypher
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WITH m, s, size(s.text) AS synopsisLength
ORDER BY synopsisLength ASC
RETURN m.title
LIMIT 1
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WITH m, s, size(s.text) AS synopsisLength
ORDER BY synopsisLength ASC
RETURN m.title
LIMIT 1","This query first matches all movies and their synopses using the `HAS_SYNOPSIS` relationship. Then, it calculates the length of each synopsis using the `size()` function and stores it in the `synopsisLength` variable. It then uses the `ORDER BY` clause to sort the results based on the `synopsisLength` in ascending order, effectively finding the movie with the shortest synopsis. Finally, it returns the `title` of the movie with the shortest synopsis.",False,False,True,False
"What are the titles of the movies directed by ""봉준호""?",neo4j,"<explanation>
This Cypher query will first match all movies that have a relationship of type `DIRECTED_BY` to a director with the name ""봉준호"". Then, it will return the titles of those movies.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
RETURN m.title","This Cypher query will first match all movies that have a relationship of type `DIRECTED_BY` to a director with the name ""봉준호"". Then, it will return the titles of those movies.",False,False,True,False
"Which movies feature the actor ""이성재""?",neo4j,"<explanation>
This Cypher query will answer the question ""Which movies feature the actor ""이성재""?"" by:

1. **Matching** nodes labeled `Actor` with the name ""이성재"".
2. **Matching** relationships of type `ACTED_BY` that connect the `Actor` to a `Movie`.
3. **Returning** the `title` of the `Movie` nodes.
</explanation>
```cypher
MATCH (a:Actor {name: ""이성재""})-[:ACTED_BY]->(m:Movie)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (a:Actor {name: ""이성재""})-[:ACTED_BY]->(m:Movie)
RETURN m.title","This Cypher query will answer the question ""Which movies feature the actor ""이성재""?"" by:

1. **Matching** nodes labeled `Actor` with the name ""이성재"".
2. **Matching** relationships of type `ACTED_BY` that connect the `Actor` to a `Movie`.
3. **Returning** the `title` of the `Movie` nodes.",False,False,False,False
"What is the synopsis of the movie ""플란다스의 개""?",neo4j,"<explanation>
This query first matches the movie with title ""플란다스의 개"". Then it follows the `HAS_SYNOPSIS` relationship to get the `Synopsis` node. Finally, it returns the `text` property of the `Synopsis` node.
</explanation>
```cypher
MATCH (m:Movie {title: ""플란다스의 개""})-[:HAS_SYNOPSIS]->(s:Synopsis)
RETURN s.text
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""플란다스의 개""})-[:HAS_SYNOPSIS]->(s:Synopsis)
RETURN s.text","This query first matches the movie with title ""플란다스의 개"". Then it follows the `HAS_SYNOPSIS` relationship to get the `Synopsis` node. Finally, it returns the `text` property of the `Synopsis` node.",False,False,True,False
"Who directed the movie with the id ""198""?",neo4j,"<explanation>
This query will first match a Movie node with the id ""198"". Then, it will traverse the DIRECTED_BY relationship to find the Director node associated with that movie. Finally, it will return the name of the Director.
</explanation>

```cypher
MATCH (m:Movie {id: 198})<-[:DIRECTED_BY]-(d:Director)
RETURN d.name
```",Simple Retrieval Queries,"MATCH (m:Movie {id: 198})<-[:DIRECTED_BY]-(d:Director)
RETURN d.name","This query will first match a Movie node with the id ""198"". Then, it will traverse the DIRECTED_BY relationship to find the Director node associated with that movie. Finally, it will return the name of the Director.",False,False,False,False
"List the names of all actors who acted in ""주노명 베이커리"".",neo4j,"<explanation>
This query first matches a movie with the title ""주노명 베이커리"". Then it matches all actors who acted in that movie. Finally, it returns the names of all actors.
</explanation>
```cypher
MATCH (m:Movie {title: ""주노명 베이커리""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""주노명 베이커리""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name","This query first matches a movie with the title ""주노명 베이커리"". Then it matches all actors who acted in that movie. Finally, it returns the names of all actors.",False,False,False,False
"Which movie has the synopsis starting with ""대학 시간강사인 고윤주""?",neo4j,"<explanation>
This query first matches all `Synopsis` nodes where the `text` property starts with ""대학 시간강사인 고윤주"". Then, it traverses the `HAS_SYNOPSIS` relationship to find the associated `Movie` node. Finally, it returns the `title` of the movie.
</explanation>

```cypher
MATCH (s:Synopsis)
WHERE s.text STARTS WITH ""대학 시간강사인 고윤주""
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (s:Synopsis)
WHERE s.text STARTS WITH ""대학 시간강사인 고윤주""
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s)
RETURN m.title","This query first matches all `Synopsis` nodes where the `text` property starts with ""대학 시간강사인 고윤주"". Then, it traverses the `HAS_SYNOPSIS` relationship to find the associated `Movie` node. Finally, it returns the `title` of the movie.",False,False,True,False
Find the names of directors who have directed more than one movie.,neo4j,"<explanation>
This query first matches all movies and their directors. It then groups the results by director name and counts the number of movies directed by each director. Finally, it filters the results to only include directors who have directed more than one movie and returns their names.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)
WITH d.name AS directorName, count(m) AS movieCount
WHERE movieCount > 1
RETURN directorName
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)
WITH d.name AS directorName, count(m) AS movieCount
WHERE movieCount > 1
RETURN directorName","This query first matches all movies and their directors. It then groups the results by director name and counts the number of movies directed by each director. Finally, it filters the results to only include directors who have directed more than one movie and returns their names.",False,False,True,False
What is the title of the movie with the longest synopsis?,neo4j,"<explanation>
This Cypher query will first match all movies and their synopses. Then, it will calculate the length of each synopsis's text using the `size()` function. We will then use `WITH` clause to create an intermediate result set that will contain the movie title and the length of its synopsis. Then we will use `ORDER BY` and `LIMIT` to find the movie with the longest synopsis. Finally, we will return the title of that movie.
</explanation>
```cypher
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WITH m, size(s.text) as synopsisLength
ORDER BY synopsisLength DESC
LIMIT 1
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WITH m, size(s.text) as synopsisLength
ORDER BY synopsisLength DESC
LIMIT 1
RETURN m.title","This Cypher query will first match all movies and their synopses. Then, it will calculate the length of each synopsis's text using the `size()` function. We will then use `WITH` clause to create an intermediate result set that will contain the movie title and the length of its synopsis. Then we will use `ORDER BY` and `LIMIT` to find the movie with the longest synopsis. Finally, we will return the title of that movie.",False,False,True,False
"Retrieve the first 3 movies that were directed by ""박헌수"".",neo4j,"<explanation>
This Cypher query first finds all movies that were directed by ""박헌수"". Then it orders the results by the movie's ID and returns the first 3 movies.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""박헌수""})
RETURN m.title
ORDER BY m.id
LIMIT 3
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""박헌수""})
RETURN m.title
ORDER BY m.id
LIMIT 3","This Cypher query first finds all movies that were directed by ""박헌수"". Then it orders the results by the movie's ID and returns the first 3 movies.",False,False,True,False
"Find the actors who have acted in movies directed by ""봉준호"".",neo4j,"<explanation>
This query first finds all movies directed by ""봉준호"" using the `DIRECTED_BY` relationship. Then, it uses the `ACTED_BY` relationship to find all actors who have acted in those movies. Finally, it returns the names of these actors.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
WITH m
MATCH (m)-[:ACTED_BY]->(a:Actor)
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
WITH m
MATCH (m)-[:ACTED_BY]->(a:Actor)
RETURN a.name","This query first finds all movies directed by ""봉준호"" using the `DIRECTED_BY` relationship. Then, it uses the `ACTED_BY` relationship to find all actors who have acted in those movies. Finally, it returns the names of these actors.",False,False,True,False
Which movies have synopses longer than 50 words?,neo4j,"<explanation>
The query first matches all movies and their synopses. Then, it filters the results based on the length of the synopsis text being greater than 50 words. Finally, it returns the titles of the movies that meet this condition.
</explanation>
```cypher
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WHERE size(split(s.text, ' ')) > 50
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WHERE size(split(s.text, ' ')) > 50
RETURN m.title","The query first matches all movies and their synopses. Then, it filters the results based on the length of the synopsis text being greater than 50 words. Finally, it returns the titles of the movies that meet this condition.",False,False,True,False
"List the names of all actors who have acted in movies with the title ""진짜 사나이"".",neo4j,"<explanation>
This query retrieves the names of actors who have acted in movies with the title ""진짜 사나이"". It starts by matching all movies with the title ""진짜 사나이"". Then, it traverses the `ACTED_BY` relationship to find all actors who have acted in these movies. Finally, it returns the names of these actors.
</explanation>
```cypher
MATCH (m:Movie {title: ""진짜 사나이""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""진짜 사나이""})<-[:ACTED_BY]-(a:Actor)
RETURN a.name","This query retrieves the names of actors who have acted in movies with the title ""진짜 사나이"". It starts by matching all movies with the title ""진짜 사나이"". Then, it traverses the `ACTED_BY` relationship to find all actors who have acted in these movies. Finally, it returns the names of these actors.",False,False,False,False
"What are the titles of the movies that feature the actor ""권해효""?",neo4j,"<explanation>
The query will first find all movies that have a relationship :ACTED_BY to an Actor with the name ""권해효"". Then, it will extract the titles of these movies and return them.
</explanation>
```cypher
MATCH (m:Movie)-[:ACTED_BY]->(a:Actor {name: ""권해효""})
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:ACTED_BY]->(a:Actor {name: ""권해효""})
RETURN m.title","The query will first find all movies that have a relationship :ACTED_BY to an Actor with the name ""권해효"". Then, it will extract the titles of these movies and return them.",False,False,False,False
Find the movies directed by directors who have also acted in movies.,neo4j,"<explanation>
This query will first find all directors who have also acted in movies. It does this by matching directors who have a relationship of type `DIRECTED_BY` to a movie and also have a relationship of type `ACTED_BY` to a movie. Then, it will match all movies directed by these directors and return their titles.
</explanation>
```cypher
MATCH (d:Director)-[:DIRECTED_BY]->(m:Movie)<-[:ACTED_BY]-(a:Actor)
WITH d
MATCH (d)-[:DIRECTED_BY]->(m:Movie)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (d:Director)-[:DIRECTED_BY]->(m:Movie)<-[:ACTED_BY]-(a:Actor)
WITH d
MATCH (d)-[:DIRECTED_BY]->(m:Movie)
RETURN m.title","This query will first find all directors who have also acted in movies. It does this by matching directors who have a relationship of type `DIRECTED_BY` to a movie and also have a relationship of type `ACTED_BY` to a movie. Then, it will match all movies directed by these directors and return their titles.",False,False,False,False
List the names of the actors who have acted in more than 3 movies.,neo4j,"<explanation>
The query first matches all actors and movies connected by the `ACTED_BY` relationship. It then groups the results by actor name and counts the number of movies each actor has acted in using the `size()` function. The `WHERE` clause filters the results to only include actors who have acted in more than 3 movies. Finally, the `RETURN` clause returns the names of the actors who meet the criteria.
</explanation>
```cypher
MATCH (a:Actor)-[:ACTED_BY]->(m:Movie)
WITH a.name AS actorName, count(m) AS movieCount
WHERE movieCount > 3
RETURN actorName
```",Simple Retrieval Queries,"MATCH (a:Actor)-[:ACTED_BY]->(m:Movie)
WITH a.name AS actorName, count(m) AS movieCount
WHERE movieCount > 3
RETURN actorName","The query first matches all actors and movies connected by the `ACTED_BY` relationship. It then groups the results by actor name and counts the number of movies each actor has acted in using the `size()` function. The `WHERE` clause filters the results to only include actors who have acted in more than 3 movies. Finally, the `RETURN` clause returns the names of the actors who meet the criteria.",False,False,False,False
What is the title of the movie with the shortest synopsis?,neo4j,"<explanation>
This Cypher query will first find all the movies and their corresponding synopses using the `HAS_SYNOPSIS` relationship. 
Then, it will calculate the length of each synopsis using `size(synopsis.text)` and store it in the `synopsisLength` variable. 
Next, it will use the `ORDER BY` clause to sort the movies by `synopsisLength` in ascending order, effectively finding the movie with the shortest synopsis. 
Finally, it will return the title of the movie with the shortest synopsis using the `RETURN` clause.
</explanation>
```cypher
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WITH m, s, size(s.text) AS synopsisLength
ORDER BY synopsisLength ASC
RETURN m.title
LIMIT 1
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s:Synopsis)
WITH m, s, size(s.text) AS synopsisLength
ORDER BY synopsisLength ASC
RETURN m.title
LIMIT 1","This Cypher query will first find all the movies and their corresponding synopses using the `HAS_SYNOPSIS` relationship. 
Then, it will calculate the length of each synopsis using `size(synopsis.text)` and store it in the `synopsisLength` variable. 
Next, it will use the `ORDER BY` clause to sort the movies by `synopsisLength` in ascending order, effectively finding the movie with the shortest synopsis. 
Finally, it will return the title of the movie with the shortest synopsis using the `RETURN` clause.",False,False,True,False
"Find the movies with synopses that contain the word ""시간강사"".",neo4j,"<explanation>
This query first matches all `Synopsis` nodes whose `text` property contains the string ""시간강사"". Then, it uses the `HAS_SYNOPSIS` relationship to traverse back to the `Movie` nodes that have these `Synopsis` nodes. Finally, it returns the `title` of these `Movie` nodes.
</explanation>
```cypher
MATCH (s:Synopsis)
WHERE s.text CONTAINS ""시간강사""
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s)
RETURN m.title
```",Simple Retrieval Queries,"MATCH (s:Synopsis)
WHERE s.text CONTAINS ""시간강사""
MATCH (m:Movie)-[:HAS_SYNOPSIS]->(s)
RETURN m.title","This query first matches all `Synopsis` nodes whose `text` property contains the string ""시간강사"". Then, it uses the `HAS_SYNOPSIS` relationship to traverse back to the `Movie` nodes that have these `Synopsis` nodes. Finally, it returns the `title` of these `Movie` nodes.",False,False,True,False
"What are the titles of the movies directed by ""봉준호""?",neo4j,"<explanation>
This Cypher query will first match all movies that have a relationship of type `DIRECTED_BY` to a director with the name ""봉준호"". Then, it will return the titles of those movies.
</explanation>
```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""봉준호""})
RETURN m.title","This Cypher query will first match all movies that have a relationship of type `DIRECTED_BY` to a director with the name ""봉준호"". Then, it will return the titles of those movies.",False,False,True,False
"Which movies feature the actor ""이성재""?",neo4j,"<explanation>
This query will first match all movies that have an ACTED_BY relationship with an actor named ""이성재"". Then, it will return the titles of those movies.
</explanation>
```cypher
MATCH (m:Movie)<-[:ACTED_BY]-(a:Actor {name: ""이성재""})
RETURN m.title
```",Simple Retrieval Queries,"MATCH (m:Movie)<-[:ACTED_BY]-(a:Actor {name: ""이성재""})
RETURN m.title","This query will first match all movies that have an ACTED_BY relationship with an actor named ""이성재"". Then, it will return the titles of those movies.",False,False,False,False
"What is the synopsis of the movie ""플란다스의 개""?",neo4j,"<explanation>
This query first matches the Movie node with the title ""플란다스의 개"". Then, it traverses the HAS_SYNOPSIS relationship to find the associated Synopsis node. Finally, it returns the text property of the Synopsis node.
</explanation>
```cypher
MATCH (m:Movie {title: ""플란다스의 개""})-[:HAS_SYNOPSIS]->(s:Synopsis)
RETURN s.text
```",Simple Retrieval Queries,"MATCH (m:Movie {title: ""플란다스의 개""})-[:HAS_SYNOPSIS]->(s:Synopsis)
RETURN s.text","This query first matches the Movie node with the title ""플란다스의 개"". Then, it traverses the HAS_SYNOPSIS relationship to find the associated Synopsis node. Finally, it returns the text property of the Synopsis node.",False,False,True,False
"Who directed the movie with the id ""198""?",neo4j,"<explanation>
This query first finds the `Movie` node with `id` equal to ""198"". Then, it traverses the `DIRECTED_BY` relationship to find the `Director` node who directed that movie. Finally, it returns the `name` of the `Director`.
</explanation>
```cypher
MATCH (m:Movie {id: 198})<-[:DIRECTED_BY]-(d:Director)
RETURN d.name
```",Simple Retrieval Queries,"MATCH (m:Movie {id: 198})<-[:DIRECTED_BY]-(d:Director)
RETURN d.name","This query first finds the `Movie` node with `id` equal to ""198"". Then, it traverses the `DIRECTED_BY` relationship to find the `Director` node who directed that movie. Finally, it returns the `name` of the `Director`.",False,False,False,False
